date,close,high,low,open,volume
2009-10-30,78.5,81.6,78.5,80,1509024
2009-11-02,75,76.6,74,76.6,1281002
2009-11-03,76,77.6,75,75.5,1338350
2009-11-04,75,76.8,74,76.8,1504915
2009-11-05,76,77.5,74.4,75,1457200
2009-11-06,77.3,79.3,76.5,76.9,1468000
2009-11-09,75.1,77.4,75.1,77.3,935349
2009-11-10,75.7,76,74.4,75.5,800500
2009-11-11,75.1,76.3,75,75.6,600319
2009-11-12,77.2,78.9,74.8,75.4,1438100
2009-11-13,82.6,82.6,77.2,77.2,3516818
2009-11-16,85.3,87.1,82.1,83.3,3419065
2009-11-17,84.6,85.3,82.6,85.3,1729031
2009-11-18,90.5,90.5,84.6,84.9,4468650
2009-11-19,94.2,96.7,91,91,4241600
2009-11-20,92.5,94,91,94,1733000
2009-11-23,91.6,93.1,90,92.9,1511102
2009-11-24,92,95,90.5,92,1705100
2009-11-25,91.2,92.5,91,92,833000
2009-11-26,93.8,95.1,91.5,91.6,2030660
2009-11-27,91.1,92.9,90.8,90.8,1343000
2009-11-30,91,93.5,87.2,92.3,1682450
2009-12-01,88.5,90.5,87.5,90,934385
2009-12-02,88,89.4,88,88.9,885900
2009-12-03,88.3,90.9,88,88,668000
2009-12-04,87.9,89.1,87.7,88.3,581001
2009-12-07,90.5,91,87.6,87.9,1468050
2009-12-08,88.8,92,88.6,90.9,827300
2009-12-09,94.1,95,88.1,88.7,3364200
2009-12-10,90.5,93.8,89,93.8,1997025
2009-12-11,91,93,89.5,91,949200
2009-12-14,90.5,92.5,90,91.9,691000
2009-12-16,89.6,91.5,89,91.5,642000
2009-12-17,89.1,90.4,88.8,89.8,600000
2009-12-18,89,89.5,88.7,89,221250
2009-12-21,90.2,91.4,89.5,89.5,455210
2009-12-22,89.7,91.1,89.5,91.1,373309
2009-12-23,89.7,91,89.7,91,391250
2009-12-24,88.9,90.7,88.5,90.7,680000
2009-12-25,89.1,90.5,89,90,434130
2009-12-28,91.9,93,90,90.5,1224020
2009-12-29,91.1,92.2,90.3,92,667110
2009-12-30,92.5,92.5,90,91.1,1135031
2009-12-31,93.5,0.0,0.0,0.0,0
2010-01-04,91.5,93.3,91.1,93.3,681462
2010-01-05,89,92.4,88.8,91.6,1093012
2010-01-06,87.9,90,87.5,88.8,919092
2010-01-07,83.1,88.2,82.5,87.9,1636086
2010-01-08,83,83.9,81.1,83.9,786487
2010-01-11,82.2,83,82,82.1,506018
2010-01-12,82.6,83.6,81.1,82.5,439003
2010-01-13,82,82.5,81.5,82.3,364000
2010-01-14,82.6,83.4,82.5,82.5,385000
2010-01-15,82.8,83.9,82.5,83.9,349003
2010-01-18,81.9,83,81.9,82.5,494150
2010-01-19,84,85.5,82.4,82.5,1010819
2010-01-20,86.3,87,84.9,85.5,1131569
2010-01-21,87.3,89.5,86.5,86.8,1551003
