date,close,high,low,open,volume
2016-07-20,122,126.5,115,117,5890000
2016-07-21,119,124,119,123.5,2558000
2016-07-22,113,120,110.5,119,2114000
2016-07-25,116.5,118,111.5,113,1544000
2016-07-26,116,117.5,113.5,116.5,762000
2016-07-27,113,116.5,112.5,116.5,646000
2016-07-28,116.5,116.5,111,114,1049000
2016-07-29,115,117.5,114.5,116,589000
2016-08-01,113,116,112.5,116,607000
2016-08-02,112.5,113.5,112,113.5,627000
2016-08-03,113.5,115.5,112,112.5,483000
2016-08-04,124.5,124.5,115,115,4498000
2016-08-05,125.5,126,122.5,123,2308000
2016-08-08,129.5,134.5,126.5,130,3217000
2016-08-09,136,136,126,129,1974000
2016-08-10,133,135,131,134,1522000
2016-08-11,128,133,123,133,1893000
2016-08-12,129,131,126,127,789000
2016-08-15,132,134,128,130,1284000
2016-08-16,130,132,128,131.5,1280000
2016-08-17,131,133,129.5,131,1013000
2016-08-18,138,142,131.5,132,3127000
