date,close,high,low,open,volume
2010-12-23,113,115,110,115,1099258
2010-12-24,105,114.5,105,114,579000
2010-12-27,100,104.5,99.4,104,410444
2010-12-28,98.7,99.9,98,98.3,134697
2010-12-29,97,98.8,96,98.8,236150
2010-12-30,99.3,99.7,96.8,97,179000
2010-12-31,98.5,100,98.5,99.3,121150
2011-01-03,98.8,99.9,98.7,99,67000
2011-01-04,98.7,99.1,98.5,98.8,66000
2011-01-05,97.3,98.8,97.1,98.7,107000
2011-01-06,98.1,98.1,97.3,97.3,51100
2011-01-07,103,104.5,98.5,98.5,325000
2011-01-10,101.5,105,100,105,96000
2011-01-11,100,101.5,99.1,101,52102
2011-01-12,99.3,100,99,100,45000
2011-01-13,99.1,99.7,99,99.3,60250
2011-01-14,98.2,99.1,98,99.1,39112
2011-01-17,100,100,98.5,98.5,60693
2011-01-18,101,102,99.5,100,137035
2011-01-19,98.6,100,98,100,69000
2011-01-20,98.3,99.4,97.8,98.6,87000
2011-01-21,98,98.3,98,98,96003
2011-01-24,97.5,99.2,97.3,99.2,54000
2011-01-25,97,98.2,97,98,61000
2011-01-26,97.8,98.2,97,97,35088
2011-01-27,97.7,98.6,97.5,97.8,33000
2011-01-28,100,0,0,0,0
2011-02-08,98.6,101,98.5,101,50100
2011-02-09,98.5,99.5,98.5,98.6,67000
2011-02-10,98.8,99.5,98.4,98.5,43120
2011-02-11,98,99.5,97.7,99.5,62000
2011-02-14,97.6,99,97,97,16068
2011-02-15,97.7,98.8,97.5,97.6,32000
2011-02-16,97.1,97.5,97,97,36383
2011-02-17,96.8,97.6,96.5,97.5,21000
2011-02-18,96.5,97,96,97,27100
2011-02-21,96.9,98,96.5,96.5,40001
2011-02-22,96.4,97.4,96,97,41000
2011-02-23,95.6,96.5,93,96.5,90650
2011-02-24,94.6,95.8,94,95.6,41000
2011-02-25,94.6,0.0,0.0,0.0,0
2011-03-01,94.2,95.2,94,94.6,71005
2011-03-02,95,95,94.2,94.2,59100
2011-03-03,94.5,95.5,94.5,95,46548
2011-03-04,95,95.1,94.5,94.8,43100
2011-03-07,99.4,101.5,95.4,95.4,186200
2011-03-08,106,106,99.4,99.4,525506
2011-03-09,104,111,103.5,111,218606
2011-03-10,105.5,107,103.5,106,169410
2011-03-11,105,105,103,105,71044
2011-03-14,102.5,106,100,106,76650
2011-03-15,99.1,101.5,98,101.5,126000
2011-03-16,102,102,99,99.1,119057
2011-03-17,100.5,102,98.2,102,40000
2011-03-18,100.5,101,99,101,27000
2011-03-21,99.5,100,98.1,98.1,18057
2011-03-22,99,100,98.5,99.5,46000
2011-03-23,98.5,99.5,98.1,99,39000
2011-03-24,98,99.4,98,98,30000
2011-03-25,97.9,98,97.5,98,39750
2011-03-28,97,98.4,96.1,98,29100
2011-03-29,97,97.6,92,95.1,35000
2011-03-30,98,98,97,97.5,35160
2011-03-31,98.9,98.9,97.4,98,24000
2011-04-01,98.7,0.0,0.0,0.0,0
2011-04-06,98.6,98.7,97.6,97.8,21004
2011-04-07,98.4,98.4,97.9,98,36000
2011-04-08,99.4,99.6,98,98,24000
2011-04-11,98.2,99.4,98.2,99.4,37010
2011-04-12,98,99.5,97.5,99.5,21005
2011-04-13,98.8,98.8,97.5,98,7001
2011-04-14,98.6,98.8,98.1,98.8,19000
2011-04-15,99.4,99.5,97.5,99.5,27000
2011-04-18,100.5,105,99.9,99.9,143000
2011-04-19,99.5,100.5,98.5,100.5,74000
2011-04-20,100,100.5,99.5,100,192100
2011-04-21,101.5,103,100,101,86000
2011-04-22,102.5,103,100,101.5,92010
2011-04-25,103.5,105,102,103,134088
2011-04-26,107,108,103.5,104,258056
2011-04-27,104.5,107.5,102,107,145000
2011-04-28,105,105,102,103,98200
2011-04-29,105.5,0.0,0.0,0.0,0
2011-05-03,102.5,103.5,101,103,88615
2011-05-04,107,107.5,102.5,102.5,277100
2011-05-05,114,114,106,107,736385
2011-05-06,117.5,121,115.5,121,1322030
2011-05-09,119,122,118,120,729850
2011-05-10,122,123.5,119,120,602046
2011-05-11,121,123,119,123,380346
2011-05-12,118.5,119.5,117,118,316699
2011-05-13,117.5,119,116,117.5,175300
2011-05-16,117,118.5,115.5,117.5,97200
2011-05-17,117.5,119,117,117,82150
2011-05-18,119,119,116.5,118.5,104268
2011-05-19,123,126.5,119,119.5,668055
2011-05-20,120,125,119,125,407005
2011-05-23,121,122.5,120,120,231005
2011-05-24,121,122,117.5,121.5,220120
2011-05-25,118.5,120.5,118,120.5,164800
