date,close,high,low,open,volume
2014-09-15,57.2,59.8,53.5,54.5,5138000
2014-09-16,53.5,59.5,52,57.2,2435000
2014-09-17,48.8,53.8,48.6,53.5,2020000
2014-09-18,48,49.5,47,48.6,1185000
2014-09-19,48,49.05,48,48.7,719000
2014-09-22,46.15,48,46.15,48,594000
2014-09-23,46.45,47.25,46,46,436000
2014-09-24,44.45,47,44.2,46.2,629000
2014-09-25,42.5,44.95,42.05,44.7,820000
2014-09-26,41.9,42.5,41.15,42.5,505000
2014-09-29,43.15,43.3,42,42,401000
2014-09-30,42.3,42.9,42.05,42.9,305000
2014-10-01,42.4,42.75,42.2,42.2,167000
2014-10-02,41.65,42.2,41.25,42.2,246000
2014-10-03,42.5,43,41.75,41.75,298000
2014-10-06,42,42.5,41.95,42.5,184000
2014-10-07,43.1,43.7,41.65,42.05,371000
2014-10-08,41.95,42.7,41.65,42.2,301000
2014-10-09,41.2,42.25,41.2,42,235000
2014-10-13,38.6,40,38.5,39.9,305000
2014-10-14,37.7,38.8,37.4,38,278000
2014-10-15,37,38.35,37,37.7,188000
2014-10-16,35.85,36.5,35,36.5,270000
2014-10-17,34.1,36.1,34.1,36,209000
2014-10-20,35,35.25,34.7,34.7,183000
2014-10-21,34.8,35.2,34.7,35,91000
2014-10-22,37.2,37.2,34.85,35,401000
2014-10-23,36.05,36.9,35.75,36,254000
2014-10-24,36.8,38,36.1,36.1,338000
2014-10-27,35.1,36.75,35,36.75,175000
2014-10-28,35.8,36.05,35.2,35.2,129000
2014-10-29,36.25,36.4,35.9,36.1,134000
2014-10-30,36.2,36.2,35.4,36.05,95000
2014-10-31,36.25,36.4,36,36.25,78000
2014-11-03,36.6,37.35,36.5,36.5,187000
2014-11-04,37.1,37.15,36.6,37,112000
2014-11-05,37.6,38.45,37.2,37.3,377000
2014-11-06,36.65,37.85,36.65,37.6,192000
2014-11-07,36.85,37.2,36.75,37,61000
2014-11-10,36.3,36.8,36.1,36.65,202000
2014-11-11,36,36.55,35.9,36.5,134000
2014-11-12,35.3,36,35.1,36,121000
2014-11-13,35.35,35.85,35.3,35.3,62000
2014-11-14,35.4,35.5,35.2,35.35,64000
2014-11-17,35.05,35.5,35,35.45,64000
2014-11-18,34.4,35.7,34.1,35.7,197000
2014-11-19,34.9,34.9,34.1,34.4,97000
2014-11-20,34.8,35.25,34.45,35,80000
2014-11-21,34.9,35.4,34.9,35,75000
2014-11-24,34.65,35.4,34.55,35.4,54000
2014-11-25,34.5,34.9,34.35,34.55,89000
2014-11-26,34.5,34.75,34.35,34.5,62000
2014-11-27,34.5,34.6,34.25,34.5,116000
2014-11-28,34.35,34.5,34.25,34.3,50000
2014-12-01,34.4,34.4,34,34,115000
2014-12-02,35.8,36.7,34.45,34.7,309000
2014-12-03,36.3,36.6,36,36,288000
2014-12-04,35.8,36.7,35.55,36.7,118000
2014-12-05,36,36.15,35.9,36,69000
2014-12-08,36.35,37,36.3,36.3,202000
2014-12-09,35.7,36.35,35.7,36.35,181000
2014-12-10,35.3,35.6,35.2,35.6,46000
2014-12-11,35,35.3,34.8,35.3,92000
2014-12-12,34.85,35.6,34.65,35.3,87000
2014-12-15,35.1,35.1,34.5,34.5,35000
2014-12-16,35.4,35.6,35.1,35.1,46000
2014-12-17,35,35.8,35,35.8,32000
2014-12-18,35,35.45,35,35.15,52000
2014-12-19,35.1,35.4,34.95,35.4,40000
2014-12-22,35.3,35.55,35.15,35.55,53000
2014-12-23,36.5,36.9,35.3,35.3,307000
2014-12-24,35.85,36.5,35.85,36.5,136000
2014-12-25,35.55,36,35.45,35.85,160000
2014-12-26,36,36.2,35.6,35.6,77000
2014-12-29,39.4,39.4,37,37.3,663000
2014-12-30,40.45,41.9,40,41.5,1389000
2014-12-31,40,40.4,39.65,40.4,326000
2015-01-05,40.05,40.45,39.65,40,223000
2015-01-06,38.45,40,38.2,40,311000
2015-01-07,38.8,39,38.6,38.6,150000
2015-01-08,38.8,39.3,38.55,39.2,154000
2015-01-09,38.15,39.15,38,38.8,193000
2015-01-12,38,38.15,37.5,38.15,138000
2015-01-13,37.9,38.45,37.9,38,91000
2015-01-14,37.7,38.1,37.5,38,76000
2015-01-15,38.1,38.75,37.7,37.9,147000
2015-01-16,37.55,38.4,37.55,38.1,103000
2015-01-19,37.55,37.8,37.4,37.55,74000
2015-01-20,37.9,37.9,37.5,37.9,66000
2015-01-21,38.8,39.25,38.1,38.1,169000
2015-01-22,38.3,38.7,38.3,38.7,118000
2015-01-23,38,38.8,37.75,38.8,156000
2015-01-26,37.7,38,37.6,38,58000
2015-01-27,38,38,37.7,37.8,79000
2015-01-28,37.8,37.9,37.7,37.9,55000
2015-01-29,37.8,37.95,37.4,37.8,100000
2015-01-30,37.7,38,37.6,38,40000
2015-02-02,37.75,38,37.55,38,27000
2015-02-03,38,38.5,37.9,38,71000
2015-02-04,37.85,38.5,37.85,38,42000
2015-02-05,37.8,38,37.65,37.8,67000
2015-02-06,37.6,37.85,37.5,37.85,38000
2015-02-09,37.5,37.85,37.4,37.7,35000
2015-02-10,37.35,37.5,37.3,37.4,66000
2015-02-11,36.55,37.4,35.65,37.35,190000
2015-02-12,36.3,36.5,35.9,36.5,51000
2015-02-13,35.85,36.4,35.85,36.4,69000
2015-02-24,35.45,36.4,35.4,36.4,53000
2015-02-25,35.95,36.1,35.3,35.45,107000
2015-02-26,35.6,35.65,35.5,35.5,42000
2015-03-02,35.4,35.7,35.2,35.6,88000
2015-03-03,35.35,35.6,35,35.5,78000
2015-03-04,35.15,35.35,35,35.3,57000
2015-03-05,35.15,35.15,34.9,34.9,60000
2015-03-06,35.25,35.3,35,35.05,69000
2015-03-09,35,35.15,34.9,35.15,78000
2015-03-10,34.6,35.25,34.5,35,139000
2015-03-11,34.6,34.7,34.3,34.5,70000
2015-03-12,35,35.7,34.2,34.6,108000
2015-03-13,35.1,35.5,35,35.1,80000
2015-03-16,35.2,35.5,35,35,50000
2015-03-17,35.25,35.4,35.2,35.2,68000
2015-03-18,35.35,35.6,35.3,35.3,96000
2015-03-19,35.2,35.6,35.05,35.4,99000
